# time = 2.54
# Grid points = 1730
# Domain Size = 4
# Pressure (Pa) = 100000
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -1.9617190077e+00  -2.0000000000e+00   1.1960000000e+00   1.8346640000e-05   1.0020607338e-01   2.0009045038e-06   2.0009045038e-06
  -1.9030328487e+00  -1.9234380154e+00   1.1960000000e+00   1.8346640000e-05   1.0020607338e-01   2.0009045038e-06   2.0009045038e-06
  -1.8617624340e+00  -1.8826276820e+00   1.1960000000e+00   1.8346640000e-05   1.0020607338e-01   2.0009045038e-06   2.0009045038e-06
  -1.8058554412e+00  -1.8408971860e+00   1.1960000000e+00   1.8346640000e-05   1.0020607338e-01   2.0009045038e-06   2.0009045038e-06
  -1.7356322647e+00  -1.7708136964e+00   1.1960000000e+00   1.8346640000e-05   1.0020607338e-01   2.0009045066e-06   2.0009045066e-06
  -1.6651116225e+00  -1.7004508331e+00   1.1960000000e+00   1.8346640000e-05   1.0020607342e-01   2.0009046896e-06   2.0009046896e-06
  -1.5942539600e+00  -1.6297724119e+00   1.1960000000e+00   1.8346640000e-05   1.0020607418e-01   2.0009082868e-06   2.0009082868e-06
  -1.5230121323e+00  -1.5587355081e+00   1.1960000000e+00   1.8346640000e-05   1.0020608024e-01   2.0009368809e-06   2.0009368809e-06
  -1.4513294242e+00  -1.4872887564e+00   1.1960000000e+00   1.8346640000e-05   1.0020611216e-01   2.0010861041e-06   2.0010861041e-06
  -1.3791368950e+00  -1.4153700919e+00   1.1960000000e+00   1.8346640000e-05   1.0020622718e-01   2.0016183105e-06   2.0016183105e-06
  -1.3063497513e+00  -1.3429036980e+00   1.1960000000e+00   1.8346640000e-05   1.0020655052e-01   2.0030974127e-06   2.0030974127e-06
  -1.2328622871e+00  -1.2697958045e+00   1.1960000000e+00   1.8346640000e-05   1.0020752524e-01   2.0074727893e-06   2.0074727893e-06
  -1.1585406632e+00  -1.1959287697e+00   1.1960000000e+00   1.8346640000e-05   1.0020943964e-01   2.0158837919e-06   2.0158837919e-06
  -1.0832123089e+00  -1.1211525567e+00   1.1960000000e+00   1.8346640000e-05   1.0021276753e-01   2.0301905686e-06   2.0301905686e-06
  -1.0066498480e+00  -1.0452720611e+00   1.1960000000e+00   1.8346640000e-05   1.0021787256e-01   2.0516690086e-06   2.0516690086e-06
  -9.4641616030e-01  -9.6802763491e-01   1.1960000000e+00   1.8346640000e-05   1.0022518013e-01   2.0821166330e-06   2.0821166330e-06
  -9.1399854808e-01  -9.2480468568e-01   1.1960000000e+00   1.8346640000e-05   1.0030979403e-01   2.7298958537e-06   2.7298958537e-06
  -8.9786109490e-01  -9.0319241047e-01   1.1960000000e+00   1.8346640000e-05   1.1236718449e-01   9.6696806824e-05   9.6696806824e-05
  -8.8996521993e-01  -8.9252977933e-01   1.1960000000e+00   1.8346640000e-05   1.4441983520e-01   3.4661975645e-04   3.4661975645e-04
  -8.8466406782e-01  -8.8740066053e-01   1.1960000000e+00   1.8346640000e-05   1.8821206792e-01   6.9007243592e-04   6.9007243592e-04
  -8.8060898770e-01  -8.8192747510e-01   1.1960000000e+00   1.8346640000e-05   1.8149393118e-01   7.6423585766e-04   7.6423585766e-04
  -8.7876813538e-01  -8.7929050029e-01   1.1960000000e+00   1.8346640000e-05   2.2708460633e-01   2.2489027456e-03   2.2489027456e-03
  -8.7804288909e-01  -8.7824577046e-01   1.1960000000e+00   1.8346640000e-05   2.9528537366e-01   4.0036053560e-03   4.0036053560e-03
  -8.7762312583e-01  -8.7784000771e-01   1.1960000000e+00   1.8346640000e-05   3.4342831851e-01   5.0774896022e-03   5.0774896022e-03
  -8.7709873107e-01  -8.7740624394e-01   1.1960000000e+00   1.8346640000e-05   4.0762098534e-01   6.2263198614e-03   6.2263198614e-03
  -8.7618042128e-01  -8.7679121820e-01   1.1960000000e+00   1.8346640000e-05   4.8737307422e-01   6.8549750809e-03   6.8549750809e-03
  -8.7534901213e-01  -8.7556962436e-01   1.1960000000e+00   1.8346640000e-05   3.8423166845e-01   5.5336642104e-03   5.5336642104e-03
  -8.7480455581e-01  -8.7512839991e-01   1.1960000000e+00   1.8346640000e-05   3.1173865379e-01   4.3416596784e-03   4.3416596784e-03
  -8.7411340343e-01  -8.7448071171e-01   1.1960000000e+00   1.8346640000e-05   2.4515189119e-01   2.8162991426e-03   2.8162991426e-03
  -8.7278004075e-01  -8.7374609515e-01   1.1960000000e+00   1.8346640000e-05   1.8768961206e-01   1.0386090367e-03   1.0386090367e-03
  -8.6973878335e-01  -8.7181398636e-01   1.1960000000e+00   1.8346640000e-05   1.8140283227e-01   6.4693298020e-04   6.4693298020e-04
  -8.6360832077e-01  -8.6766358034e-01   1.1960000000e+00   1.8346640000e-05   1.6608662389e-01   5.1560518919e-04   5.1560518919e-04
  -8.5089981055e-01  -8.5955306120e-01   1.1960000000e+00   1.8346640000e-05   1.0485862476e-01   3.8163576851e-05   3.8163576851e-05
  -8.3785078670e-01  -8.4224655990e-01   1.1960000000e+00   1.8346640000e-05   1.0029016917e-01   2.5728569068e-06   2.5728569068e-06
  -8.2826657324e-01  -8.3345501351e-01   1.1960000000e+00   1.8346640000e-05   1.0065112800e-01   5.3840725989e-06   5.3840725989e-06
  -8.2056558688e-01  -8.2307813297e-01   1.1960000000e+00   1.8346640000e-05   1.1161726743e-01   9.0917999067e-05   9.0917999067e-05
  -8.1676298870e-01  -8.1805304079e-01   1.1960000000e+00   1.8346640000e-05   1.5486247392e-01   4.3287044793e-04   4.3287044793e-04
  -8.1483023730e-01  -8.1547293661e-01   1.1960000000e+00   1.8346640000e-05   1.8550751202e-01   7.8491336434e-04   7.8491336434e-04
  -8.1363877193e-01  -8.1418753800e-01   1.1960000000e+00   1.8346640000e-05   2.2570348904e-01   1.7370251450e-03   1.7370251450e-03
  -8.1262652393e-01  -8.1309000586e-01   1.1960000000e+00   1.8346640000e-05   3.5193931223e-01   4.2936323945e-03   4.2936323945e-03
  -8.1110940439e-01  -8.1216304199e-01   1.1960000000e+00   1.8346640000e-05   4.6083950764e-01   5.6223251109e-03   5.6223251109e-03
  -8.0931712867e-01  -8.1005576679e-01   1.1960000000e+00   1.8346640000e-05   2.6021085823e-01   2.3430468348e-03   2.3430468348e-03
  -8.0730886434e-01  -8.0857849056e-01   1.1960000000e+00   1.8346640000e-05   1.7918828273e-01   7.2325811799e-04   7.2325811799e-04
  -8.0473493941e-01  -8.0603923812e-01   1.1960000000e+00   1.8346640000e-05   1.4089641264e-01   3.2409061971e-04   3.2409061971e-04
  -8.0084876342e-01  -8.0343064069e-01   1.1960000000e+00   1.8346640000e-05   1.0490867365e-01   3.8629981825e-05   3.8629981825e-05
  -7.9568902345e-01  -7.9826688616e-01   1.1960000000e+00   1.8346640000e-05   1.1438804878e-01   1.1254337280e-04   1.1254337280e-04
  -7.9183575615e-01  -7.9311116074e-01   1.1960000000e+00   1.8346640000e-05   1.4334510117e-01   3.4474010238e-04   3.4474010238e-04
  -7.8928620644e-01  -7.9056035157e-01   1.1960000000e+00   1.8346640000e-05   1.8296187629e-01   7.9614902681e-04   7.9614902681e-04
  -7.8749303289e-01  -7.8801206131e-01   1.1960000000e+00   1.8346640000e-05   2.8674606738e-01   3.0475718615e-03   3.0475718615e-03
  -7.8639003506e-01  -7.8697400446e-01   1.1960000000e+00   1.8346640000e-05   4.7330189608e-01   5.2651526077e-03   5.2651526077e-03
  -7.8518426841e-01  -7.8580606566e-01   1.1960000000e+00   1.8346640000e-05   6.4603610072e-01   3.3702098098e-03   3.3702098098e-03
  -7.8389601800e-01  -7.8456247117e-01   1.1960000000e+00   1.8346640000e-05   7.2366896659e-01   1.5111248553e-03   1.5111248553e-03
  -7.8269025567e-01  -7.8322956483e-01   1.1960000000e+00   1.8346640000e-05   5.3777537404e-01   5.8063995056e-03   5.8063995056e-03
  -7.8186531911e-01  -7.8215094651e-01   1.1960000000e+00   1.8346640000e-05   4.5687880400e-01   5.2894312325e-03   5.2894312325e-03
  -7.8139076795e-01  -7.8157969171e-01   1.1960000000e+00   1.8346640000e-05   4.2989570609e-01   5.0020581178e-03   5.0020581178e-03
